Pre,M,N,D,PR,SI,Lm,IP,BL,DoMax,DoMin,WMax,WMin,DsMax,WsMax,AR,LR_RL,LR_BL,A,D,FH,G,DF,QS
,22.0,6.75,10.0,12,190,"7,300",152,"21,900",22,21.3,6.75,6.35,19.85,5.95,0.89,9.1,6.9,4.75,10,0.812,1.5,11.62,TSO-C62 
,22.0,6.75,10.0,18,136 kt ,"10,600",245,"31,800",22,21.35,6.75,6.35,19.85,5.95,0.89,9.1,6.9,4.75,10,0.812,2,11.62,MIL-T-5041 
,22.0,7.25,11.5,8,160,"4,600",80,"13,800",22.34,21.75,7.43,7,22.18,7.37,0.73,9.2,7.8,4.63,11.5,1.222,1,13.94,MIL-T-5041 
,22.0,7.7,12.0,16,275,"10,500",280,"31,500",22.35,21.75,7.7,7.25,20.25,6.8,0.67,9.7,8.2,6,12,1,,14,MIL-T-5041 
,22.0,7.75,9.0,26,242,"12,400",305,"37,200",22.2,,7.8,,19.85,6.85,0.85,9.2,,4.25,9,1.125,2.15,11.25,MIL-T-5041 
,22.0,7.75,10.0,8,160,"4,700",90,"14,100",22,21.3,7.75,7.3,19.85,6.8,0.77,9.1,6.8,4.75,10,0.812,1.1,11.62,TSO-C62 
,22.0,7.75,10.0,8,190,"4,700",90,"14,100",22,21.3,7.75,7.3,19.85,6.8,0.77,9.1,6.8,4.75,10,0.812,1.1,11.62,TSO-C62 
,22.0,7.75,10.0,10,160,"5,500",110,"16,500",22,21.3,7.75,7.3,19.85,6.8,0.77,9.1,7.1,4.75,10,0.812,1.1,11.62,TSO-C62 
,22.0,7.75,10.0,10,190,"5,500",110,"16,500",22,21.3,7.75,7.3,19.85,6.8,0.77,9.1,7.1,4.75,10,0.812,1.1,11.62,TSO-C62 
,22.0,7.75,10.0,12,190,"6,800",134,"20,400",22,21.3,7.75,7.3,19.85,6.8,0.77,9.1,7.1,4.75,10,0.812,1.1,11.62,TSO-C62 
,22.0,8.0,8.0,6,,"2,500",40,"7,500",22,21.3,8,7.55,19.5,7.05,0.88,8.7,,6,8,0.875,1.1,9.75,
,22.0,8.0,8.0,8,,"3,500",55,"10,500",22,21.3,8,7.55,19.6,7.05,0.88,8.7,,6,8,0.875,1.6,9.75,
,22.0,8.0,10.0,10,190,"6,500",110,"19,500",22,21.35,8,7.55,19.85,7.05,0.75,9,6.9,5,10,0.625,1.4,11.25,TSO-C62 
,22.0,8.0,10.0,12,190,"7,900",135,"23,700",22,21.35,8,7.55,19.85,7.05,0.75,9,6.9,5,10,0.625,1.8,11.25,TSO-C62 
,22.0,8.5,11.0,16,217 kt ,"10,000",210,"30,000",22,21.4,8.5,8.1,19.65,7.5,0.64,9.4,7.8,7.25,11,0.875,1.88,12.75,MIL-T-5041 
H,22.0,8.5,10.0,12,190,"6,900",132,"20,700",22,21.4,8.25,7.8,20.8,7.45,0.73,9.1,7.2,5.25,10,0.85,1.8,11.7,TSO-C62 
H,22.0,8.5,10.0,14,190,"8,300",156,"24,900",22,21.4,8.25,7.8,20.8,7.45,0.73,9.1,7.2,5.25,10,0.85,2.14,11.7,TSO-C62 
,23.0,7.0,12.0,10,210,"6,500",135,"19,500",23.2,22.6,7.2,6.8,21.15,6.3,0.78,9.9,7.8,6.25,12,0.65,1.25,13.3,TSO-C62 
,23.0,7.0,12.0,12,210,"7,800",160,"23,400",23.2,22.6,7.2,6.8,21.15,6.3,0.78,9.9,7.8,6.25,12,0.65,1.7,13.3,TSO-C62 
*,23.0,9.0,8.0,10,,"5,290",80,"15,870",24,22.4,9.45,8.85,21.85,8.45,0.85,9.5,,7.25,8,0.875,1.75,9.75,
,24.0,5.5,,12,139 kt ,"8,070",250,"23,000",24.15,23.55,5.7,5.45,23.3,4.95,0.89,10.6,9.3,4.25,14,0.875,1.38,15.75,MIL-T-5041 
,24.0,5.5,,12,200,"7,500",230,"22,500",24.15,23.55,5.7,5.45,23.3,4.95,0.89,10.6,9.3,4.25,14,0.875,1.38,15.75,MIL-T-5041 
,24.0,5.5,,14,,"9,700",300,"29,100",24.15,23.55,5.7,5.45,23.3,4.95,0.89,10.6,9,4.25,14,0.875,1.38,15.75,
,24.0,5.5,,16,200,"11,500",355,"34,500",24.15,23.55,5.7,5.45,23.3,4.95,0.89,10.6,9,4.25,14,0.875,1.38,15.75,MIL-T-5041 
,24.0,6.5,14.0,18,200 kt ,"12,900",375,"38,700",24.2,23.6,6.65,6.25,22.4,5.9,0.75,,,4.75,14,0.875,1.65,15.75,MiL-T-5041 
*,24.0,6.6,,20,,"6,500",294,"19,500",23.8,23,6.7,6.3,21.46,5.5,0.88,10.2,9,5.5,12,1,1.8,14,
,24.0,7.25,12.0,10,160,"6,600",120,"19,800",24.5,23.8,7.5,7,22.25,6.5,0.84,10.4,8,6.25,12,0.7,1.4,13.4,TSO-C62 
