Pre,M,N,D,PR,SI,Lm,IP,BL,DoMax,DoMin,WMax,WMin,DsMax,WsMax,AR,LR_RL,LR_BL,A,D,FH,G,DF,QS
,44.0,16.0,,30,225,"41,700",210,"125,100",43.25,42.3,16,15.05,38.2,13.7,0.8,17.9,12.5,13.25,18,1.625,3.4,21.25,TSO-C62 
,44.0,16.0,,32,225,"45,000",225,"135,000",43.25,42.3,16,15.05,38.2,13.7,0.8,17.9,12.5,13.25,18,1.625,3.55,21.25,TSO-C62 
,44.5,16.0,21.0,34,263,"60,900",315,"182,700",44.5,43.5,16,15.2,40.7,14.1,0.74,18.4,13.4,10.5,21,1.25,,23.5,MIL-T-5041 
,44.5,16.5,18.0,30,225,"42,500",195,"127,500",44.5,43.5,16.5,15.7,39.7,14.5,0.81,18.4,13,13.25,18,1.25,3.55,20.5,TSO-C62 
,44.5,16.5,18.0,32,225,"45,800",210,"137,400",44.5,43.5,16.5,15.7,39.7,14.5,0.81,18.4,13,13.25,18,1.25,3.73,20.5,
H,44.5,16.5,20.0,24,225,"36,200",165,"108,600",44.5,43.5,16.5,15.7,40.1,14.55,0.75,18.3,14.2,10.5,20,1.625,3.25,23.25,
H,44.5,16.5,20.0,26,225,"39,600",180,"118,800",44.5,43.5,16.5,15.7,40.1,14.55,0.75,18.3,14.2,10.5,20,1.5,3.45,23,TSO-C62 
H,44.5,16.5,20.0,28,225,"42,800",195,"128,400",44.5,43.5,16.5,15.7,40.1,14.55,0.75,18.3,14.2,10.5,20,1.5,3.5,23,TSO-C62 
,44.5,16.5,21.0,26,,"41,100",198,"123,300",44.5,43.5,16.5,15.7,42.2,14.8,0.71,18.5,14,10.5,21,1.6,3.3,24.2,
H,44.5,16.5,21.0,26,225,"41,100",198,"123,300",44.5,43.5,16.5,15.7,42.2,14.8,0.71,18.5,,10.5,21,1.6,3.3,24.2,TSO-C62 
H,44.5,16.5,21.0,28,225,"44,700",214,"134,100",44.5,43.5,16.5,15.7,42.2,14.8,0.71,18.5,,10.5,21,1.6,3.4,24.2,TSO-C62 
H,45.0,17.0,20.0,26,225,"40,000",175,"120,000",45,44,17,16.2,40.5,15,0.74,18.5,14.2,11,20,1.6,3.25,23.2,TSO-C62 
B,46.0,16.0,23.5,30,214,"53,800",260,"161,400",46,45.1,16,15.2,42.2,14.1,0.71,19.4,14.7,10.5,23.5,1.25,,26,MIL-T-5041 
B,46.0,16.0,23.5,30,276,"53,800",260,"161,400",46,45.1,16,15.2,42.2,14.1,0.71,19.4,14.7,10.5,23.5,1.25,,26,MIL-T-5041 
,46.0,16.0,,20,,"29,900",145,"89,700",45.25,44.3,16,15.05,40.7,14.1,0.8,19,13.6,13.25,20,1.625,2.85,23.25,
,46.0,16.0,,22,,"32,500",155,"97,500",45.25,44.3,16,15.05,40.7,14.1,0.8,19,13.6,13.25,20,1.625,2.94,23.25,
,46.0,16.0,,24,,"35,700",170,"107,100",45.25,44.3,16,15.05,40.7,14.1,0.8,19,13.6,13.25,20,1.625,3,23.25,
,46.0,16.0,,26,,"38,300",185,"114,900",45.25,44.3,16,15.05,40.7,14.1,0.8,19,13.6,13.25,20,1.625,3.1,23.25,
,46.0,16.0,,28,225,"41,800",210,"125,400",45.25,44.3,16,15.05,40.7,14.1,0.8,19,13.6,13.25,20,1.625,3.25,23.25,TSO-C62 
,46.0,16.0,,30,210,"44,800",225,"134,400",45.25,44.3,16,15.05,40.7,14.1,0.8,19,13.6,13.25,20,1.625,3.4,23.25,TSO-C62 
,46.0,16.0,,30,225,"44,800",225,"134,400",45.25,44.3,16,15.05,40.7,14.1,0.8,19,13.6,13.25,20,1.625,3.4,23.25,TSO-C62 
,46.0,16.0,,32,225,"48,000",245,"144,000",45.25,44.3,16,15.05,40.7,14.1,0.8,19,13.6,13.25,20,1.625,3.55,23.25,TSO-C62 
B,46.0,16.0,23.5,30,276,"53,800",260,"161,400",46,45.1,16,15.2,42.2,14.1,0.71,19.65,,10.5,23.5,1.25,3.15,26,
H,46.0,18.0,20.0,26,225,"41,500",170,"124,500",46,45,18,17.15,41.3,15.85,0.73,18.8,14.3,11,20,1.6,3.35,23.2,
H,46.0,18.0,20.0,28,225,"44,200",180,"132,600",46,45,18,17.15,41.3,15.85,0.73,18.8,14.5,11,20,1.625,3.55,23.2,TSO-C62 
H,46.0,18.0,20.0,32,225,"51,100",205,"153,300",46,45,18,17.15,41.3,15.85,0.73,18.8,14.5,11,20,1.625,3.8,23.2,TSO-C62 
H,46.0,18.0,20.0,32,235,"51,100",205,"153,300",46,45,18,17.15,41.3,15.85,0.73,18.8,14.5,11,20,1.625,3.8,23.2,TSO-C62 
H,46.0,18.0,20.0,34,235,"55,300",220,"165,900",46,45,18,17.15,41.3,15.85,0.73,18.8,14.5,11,20,1.7,3.8,23.4,
,47.0,15.75,22.1,32,279,"51,500",223,,48.1,47.2,16,14.05,43.4,14.05,0.82,19.9,,12.75,22.1,1.75,3.75,25.6,
,47.0,18.0,18.0,30,225,"43,700",175,"131,100",46.9,46,18,17.25,41.6,16.34,0.81,19.2,12.5,14.75,18,1.625,,21.25,
,47.0,18.0,18.0,36,250,"54,000",215,"162,000",46.9,46,18,17.25,41.6,16.34,0.81,19.2,12.5,14.75,18,1.625,,21.25,MIL-T-5041 
,49.0,17.0,,26,225,"39,600",170,"118,800",48.75,47.7,17.25,16.4,43,14.5,0.84,20.2,14,13.25,20,1.75,3.05,23.5,MIL-T-5041 
,49.0,17.0,,26,200,"39,600",165,"118,800",48.75,47.7,17.25,16.4,43,14.5,0.84,20.2,14,13.25,20,1.75,3.25,23.5,MIL-T-5041 
,49.0,17.0,,28,210,"43,200",180,"129,600",48.75,47.7,17.25,16.4,43,14.5,0.84,20.2,14,13.25,20,1.75,3.35,23.5,TSO-C62 
,49.0,17.0,,30,210,"46,700",195,"140,100",48.75,47.7,17.25,16.4,43,14.5,0.84,20.2,14,13.25,20,1.75,3.5,23.5,TSO-C62 
,49.0,17.0,,30,225,"46,700",195,"140,100",48.75,47.7,17.25,16.4,43,14.5,0.84,20.2,14,13.25,20,1.75,3.5,23.5,TSO-C62 
,49.0,17.0,,32,225,"50,400",210,"151,200",48.75,47.7,17.25,16.4,43,14.5,0.84,20.2,14,13.25,20,1.75,3.65,23.5,TSO-C62 
,49.0,17.0,,32,235,"50,400",210,"151,200",48.75,47.7,17.25,16.4,43,14.5,0.84,20.2,14,13.25,20,1.75,3.65,23.5,TSO-C62 
,49.0,17.0,,34,,"53,900",220,"161,700",48.75,47.7,17.25,16.4,43,14.5,0.84,20.2,14,13.25,20,1.75,3.8,23.5,
,49.0,18.0,22.0,30,,"50,900",219,"152,700",49,48,18,17.15,46.3,16.2,0.75,20.6,,13.75,22,1.875,3.75,25.75,
,49.0,18.0,22.0,32,,"54,800",235,"164,400",49,48,18,17.15,46.3,16.2,0.75,20.6,,13.75,22,1.875,3.95,25.75,
,49.0,19.0,20.0,32,235,"51,900",195,"155,700",49,48,19,18.15,43.8,16.7,0.77,20.3,14.5,13.25,20,1.625,3.75,23.25,TSO-C62 
,49.0,19.0,20.0,34,235,"55,700",215,"167,100",49,48,19,18.15,43.8,16.7,0.77,20.3,14.5,13.25,20,1.875,3.95,23.75,TSO-C62 
,49.0,19.0,20.0,34,245,"55,700",215,"167,100",49,48,19,18.15,43.8,16.7,0.77,20.3,14.5,13.25,20,1.875,3.95,23.75,TSO-C62 
,49.0,19.0,20.0,36,,"59,000",225,"177,000",49,48,19,18.15,43.8,16.7,0.77,20.3,14.5,13.25,20,1.875,3.95,23.75,
H,49.0,19.0,22.0,24,,"41,000",155,"123,000",49,48,19,18.15,46.3,17.1,0.71,20.2,16.5,12,22,1.7,3.5,25.4,
H,49.0,19.0,22.0,32,235,"56,600",205,"169,800",49,48,19,18.15,46.3,17.1,0.71,20.2,16.5,12,22,1.7,3.95,25.4,
H,49.0,19.0,22.0,34,,"60,700",220,"182,200",49,48,19,18.15,46.3,17.1,0.71,20.2,16.5,12,22,1.7,4.15,25.4,
,50.0,18.0,,26,,"41,765",155,"125,295",49.4,48.4,17.5,16.7,44,15.35,0.84,20.5,14.3,14.25,20,1.75,3.5,23.5,
,50.0,20.0,20.0,24,,"38,200",135,"114,600",50,49,20,19.1,44.6,17.6,0.75,20.6,13.6,16.25,20,1.875,3.4,23.75,
,50.0,20.0,20.0,26,,"41,800",150,"125,400",50,49,20,19.1,44.6,17.6,0.75,20.6,13.6,16.25,20,1.875,3.5,23.75,
,50.0,20.0,20.0,30,,"49,400",175,"148,200",50,49,20,19.1,44.6,17.6,0.75,20.6,13.6,16.25,20,1.875,3.95,23.75,
,50.0,20.0,20.0,32,,"53,800",190,"161,400",50,49,20,19.1,44.6,17.6,0.75,20.6,13.6,16.25,20,1.875,3.95,23.75,
,50.0,20.0,20.0,34,225,"57,000",205,"171,000",50,49,20,19.1,44.6,17.6,0.75,20.6,13.6,16.25,20,1.875,4.15,23.75,TSO-C62 
,50.0,20.0,20.0,36,225,"60,700",215,"182,100",50,49,20,19.1,44.6,17.6,0.75,20.6,13.6,16.25,20,1.875,4.3,23.75,TSO-C62 
,50.0,20.5,20.0,34,,"57,800",186,"173,400",51.95,51,20.45,19.7,46.25,18.1,0.78,21.25,,16.25,20,1.874,3.95,23.75,
,50.0,20.5,20.0,36,,"62,500",200,"187,500",51.95,51,20.45,19.7,46.25,18.1,0.78,21.25,,16.25,20,1.874,4.2,23.75,
,50.0,21.0,20.0,28,,"46,700",150,"140,100",50,49,21,20.05,44.6,18.5,0.72,20.2,14.6,13.25,20,1.875,3.5,23.75,
,50.0,21.0,20.0,30,210,"49,000",160,"147,000",50,49,21,20.05,44.6,18.5,0.72,20.2,14.6,13.25,20,1.75,3.6,23.5,TSO-C62 
,50.0,21.0,20.0,30,225,"49,000",160,"147,000",50,49,21,20.05,44.6,18.5,0.72,20.2,14.6,13.25,20,1.75,3.6,23.5,MIL-T-5041 
,50.0,21.0,20.0,30,225,"49,000",160,"147,000",50,49,21,20.05,44.6,18.5,0.72,20.2,14.6,13.25,20,1.75,3.6,23.5,TSO-C62 
,52.0,20.5,20.0,34,,"57,800",185,"173,400",52,51,20.5,19.6,46.25,18.05,0.79,21.3,14.3,16.25,20,1.875,3.95,23.75,
,52.0,20.5,20.0,36,225,"62,500",200,"187,500",52,51,20.5,19.6,46.25,18.05,0.79,21.3,14.3,16.25,20,1.875,4.2,23.75,TSO-C62 
,52.0,20.5,20.0,38,,"65,300",210,"195,900",52,51,20.5,19.6,46.25,18.05,0.79,21.3,14.3,16.25,20,1.875,4.55,23.75,
,52.0,20.5,23.0,26,,"55,000",165,"165,000",52,51,20.5,19.6,46.8,18.05,0.71,21.3,15.9,13,23,1.875,3.25,26.75,
,52.0,20.5,23.0,28,235,"59,500",180,"178,500",52,51,20.5,19.6,46.8,18.05,0.71,21.3,15.9,13,23,1.875,3.25,26.75,
,52.0,20.5,23.0,30,235,"63,700",195,"191,100",52,51,20.5,19.6,46.8,18.05,0.71,21.3,15.9,13,23,1.5,3.25,26,TSO-C62 
,54.0,21.0,23.0,32,,"61,300",202,"183,900",54,53,21,20.1,50.9,18.9,0.74,22.5,,16.25,23,1.5,3.8,26,
,54.0,21.0,23.0,36,,"68,500",223,"205,500",54,53,21,20.1,50.9,18.9,0.74,2.5,,16.25,23,2,4.2,27,
H,54.0,21.0,24.0,34,235,"68,100",200,"204,300",54,53,21,20.1,51,18.9,0.72,22.2,,13,24,2,4.25,28,TSO-C62 
H,54.0,21.0,24.0,36,235,"72,200",212,"216,600",54,53,21,20.1,51,18.9,0.72,22.2,,13,24,1.8,4.25,27.6,
,56.0,16.0,,24,174 kt ,"45,000",178,"135,000",55.9,54.8,16.2,15.5,50.85,14.26,0.88,24.1,18.7,12.75,28,2.25,3.88,32.5,
,56.0,16.0,,32,250,"60,000",250,"180,000",55.9,54.8,16.2,15.5,50.85,14.26,0.88,24.1,18.7,12.75,28,2.25,4.6,32.5,MIL-T-5041 
,56.0,16.0,,38,250,"76,000",315,"228,000",55.9,54.8,16.2,15.5,50.85,14.26,0.88,24.1,18.7,12.75,28,2.25,4.6,32.5,MIL-T-5041 
,56.0,20.0,20.0,24,210,"38,500",110,"115,500",56,54.8,20,19.1,49.5,17.6,0.91,22.7,15.2,15.5,20,1.8,3.4,23.6,TSO-C62 
